	Neighborhood	SalePrice
0	CollgCr	208500
1	Veenker	181500
2	CollgCr	223500
3	Crawfor	140000
4	NoRidge	250000
5	Mitchel	143000
6	Somerst	307000
7	NWAmes	200000
8	OldTown	129900
9	BrkSide	118000
10	Sawyer	129500
11	NridgHt	345000
12	Sawyer	144000
13	CollgCr	279500
14	NAmes	157000
15	BrkSide	132000
16	NAmes	149000
17	Sawyer	90000
18	SawyerW	159000
19	NAmes	139000
20	NridgHt	325300
21	IDOTRR	139400
22	CollgCr	230000
23	MeadowV	129900
24	Sawyer	154000
25	NridgHt	256300
26	NAmes	134800
27	NridgHt	306000
28	NAmes	207500
29	BrkSide	68500
30	IDOTRR	40000
31	Sawyer	149350
32	CollgCr	179900
33	NAmes	165500
34	NridgHt	277500
35	NridgHt	309000
36	CollgCr	145000
37	NAmes	153000
38	NAmes	109000
39	Edwards	82000
40	NAmes	160000
41	Timber	170000
42	SawyerW	144000
43	CollgCr	130250
44	NAmes	141000
45	NridgHt	319900
46	Mitchel	239686
47	Somerst	249700
48	OldTown	113000
49	Sawyer	127000
50	Gilbert	177000
51	BrkSide	114500
52	IDOTRR	110000
53	Veenker	385000
54	NAmes	130000
55	NAmes	180500
56	Somerst	172500
57	CollgCr	196500
58	StoneBr	438780
59	CollgCr	124900
60	SawyerW	158000
61	IDOTRR	101000
62	NridgHt	202500
63	OldTown	140000
64	CollgCr	219500
65	NridgHt	317000
66	NAmes	180000
67	CollgCr	226000
68	OldTown	80000
69	ClearCr	225000
70	NAmes	244000
71	Mitchel	129500
72	Gilbert	185000
73	NAmes	144900
74	OldTown	107400
75	MeadowV	91000
76	NAmes	135750
77	BrkSide	127000
78	Sawyer	136500
79	OldTown	110000
80	NAmes	193500
81	Mitchel	153500
82	Somerst	245000
83	NAmes	126500
84	Gilbert	168500
85	NoRidge	260000
86	Gilbert	174000
87	Somerst	164500
88	IDOTRR	85000
89	CollgCr	123600
90	NAmes	109900
91	NAmes	98600
92	Crawfor	163500
93	OldTown	133900
94	CollgCr	204750
95	Gilbert	185000
96	CollgCr	214000
97	Edwards	94750
98	Edwards	83000
99	NAmes	128950
100	NWAmes	205000
101	SawyerW	178000
102	SawyerW	118964
103	CollgCr	198900
104	IDOTRR	169500
105	Somerst	250000
106	OldTown	100000
107	OldTown	115000
108	IDOTRR	115000
109	NWAmes	190000
110	Edwards	136900
111	Gilbert	180000
112	CollgCr	383970
113	Crawfor	217000
114	Crawfor	259500
115	Somerst	176000
116	Sawyer	139000
117	Edwards	155000
118	SawyerW	320000
119	CollgCr	163990
120	ClearCr	180000
121	IDOTRR	100000
122	NAmes	136000
123	SawyerW	153900
124	NWAmes	181000
125	IDOTRR	84500
126	NPkVill	128000
127	OldTown	87000
128	NAmes	155000
129	NAmes	150000
130	NAmes	226000
131	Gilbert	244000
132	NAmes	150750
133	Timber	220000
134	Sawyer	180000
135	NWAmes	174000
136	NAmes	143000
137	Mitchel	171000
138	CollgCr	230000
139	CollgCr	231500
140	NAmes	115000
141	CollgCr	260000
142	NAmes	166000
143	CollgCr	204000
144	Sawyer	125000
145	Edwards	130000
146	BrkSide	105000
147	Gilbert	222500
148	SawyerW	141000
149	BrkSide	115000
150	CollgCr	122000
151	NridgHt	372402
152	NWAmes	190000
153	ClearCr	235000
154	OldTown	125000
155	Edwards	79000
156	NAmes	109500
157	Timber	269500
158	Somerst	254900
159	Gilbert	320000
160	Veenker	162500
161	NridgHt	412500
162	NridgHt	220000
163	OldTown	103200
164	OldTown	152000
165	Edwards	127500
166	ClearCr	190000
167	NridgHt	325624
168	Gilbert	183500
169	Timber	228000
170	OldTown	128500
171	NAmes	215000
172	StoneBr	239000
173	NAmes	163000
174	Timber	184000
175	Edwards	243000
176	ClearCr	211000
177	Sawyer	172500
178	StoneBr	501837
179	OldTown	100000
180	Somerst	177000
181	Crawfor	200100
182	Edwards	120000
183	OldTown	200000
184	BrkSide	127000
185	OldTown	475000
186	Mitchel	173000
187	OldTown	135000
188	SawyerW	153337
189	StoneBr	286000
190	Crawfor	315000
191	NAmes	184000
192	CollgCr	192000
193	Edwards	130000
194	CollgCr	127000
195	NPkVill	148500
196	Somerst	311872
197	NAmes	235000
198	OldTown	104000
199	NridgHt	274900
200	Edwards	140000
201	Mitchel	171500
202	OldTown	112000
203	CollgCr	149000
204	OldTown	110000
205	Gilbert	180500
206	Sawyer	143900
207	NAmes	141000
208	SawyerW	277000
209	NAmes	145000
210	Edwards	98000
211	Edwards	186000
212	Somerst	252678
213	CollgCr	156000
214	CollgCr	161750
215	NAmes	134450
216	CollgCr	210000
217	OldTown	107000
218	Crawfor	311500
219	Blmngtn	167240
220	CollgCr	204900
221	Gilbert	200000
222	NWAmes	179900
223	NAmes	97000
224	NridgHt	386250
225	BrDale	112000
226	NoRidge	290000
227	BrDale	106000
228	Sawyer	125000
229	Blmngtn	192500
230	NAmes	148000
231	NoRidge	403000
232	BrDale	94500
233	CollgCr	128200
234	Gilbert	216500
235	BrDale	89500
236	CollgCr	185500
237	SawyerW	194500
238	NridgHt	318000
239	Edwards	113000
240	Somerst	262500
241	OldTown	110500
242	OldTown	79000
243	SawyerW	120000
244	SawyerW	205000
245	NWAmes	241500
246	OldTown	137000
247	NAmes	140000
248	CollgCr	180000
249	ClearCr	277000
250	BrkSide	76500
251	Crawfor	235000
252	SawyerW	173000
253	NAmes	158000
254	NAmes	145000
255	Gilbert	230000
256	Somerst	207500
257	CollgCr	220000
258	CollgCr	231500
259	OldTown	97000
260	NAmes	176000
261	CollgCr	276000
262	Sawyer	151000
263	OldTown	130000
264	OldTown	73000
265	NWAmes	175500
266	Gilbert	185000
267	SWISU	179500
268	IDOTRR	120500
269	Edwards	148000
270	Somerst	266000
271	ClearCr	241500
272	NoRidge	290000
273	NAmes	139000
274	Mitchel	124500
275	BrkSide	205000
276	Mitchel	201000
277	Gilbert	141000
278	NridgHt	415298
279	ClearCr	192000
280	SawyerW	228500
281	Somerst	185000
282	NridgHt	207500
283	Somerst	244600
284	SawyerW	179200
285	Somerst	164700
286	NAmes	159000
287	NAmes	88000
288	Sawyer	122000
289	BrkSide	153575
290	CollgCr	233230
291	SWISU	135900
292	Edwards	131000
293	NWAmes	235000
294	NAmes	167000
295	Mitchel	142500
296	IDOTRR	152000
297	Somerst	239000
298	NWAmes	175000
299	Crawfor	158500
300	Crawfor	157000
301	CollgCr	267000
302	CollgCr	205000
303	CollgCr	149900
304	OldTown	295000
305	CollgCr	305900
306	SawyerW	225000
307	IDOTRR	89500
308	Edwards	82500
309	NridgHt	360000
310	Gilbert	165600
311	NAmes	132000
312	OldTown	119900
313	Timber	375000
314	OldTown	178000
315	Gilbert	188500
316	NWAmes	260000
317	Somerst	270000
318	NoRidge	260000
319	NWAmes	187500
320	NridgHt	342643
321	NridgHt	354000
322	SawyerW	301000
323	OldTown	126175
324	NAmes	242000
325	IDOTRR	87000
326	Veenker	324000
327	NAmes	145250
328	BrkSide	214500
329	IDOTRR	78000
330	NAmes	119000
331	NAmes	139000
332	NridgHt	284000
333	NridgHt	207000
334	Gilbert	192000
335	Timber	228950
336	StoneBr	377426
337	CollgCr	214000
338	NWAmes	202500
339	NAmes	155000
340	Timber	202900
341	SawyerW	82000
342	NAmes	87500
343	NridgHt	266000
344	MeadowV	85000
345	BrkSide	140200
346	NAmes	151500
